rdbms_id,country_name,date_local,vendor_id,customer_id,gmv_local,is_voucher_used,is_successful_order
15,Singapore,2014-10-02,1020,9391,6.164,FALSE,TRUE
15,Singapore,2014-10-02,1020,22959,60.032,FALSE,TRUE
15,Singapore,2014-10-02,1020,120694,78.402,FALSE,TRUE
15,Singapore,2014-10-02,1020,14629,92.99,FALSE,TRUE
15,Singapore,2014-10-02,1020,28348,32.9994,FALSE,TRUE
15,Singapore,2014-10-02,1020,35682,19.4832,FALSE,TRUE
15,Singapore,2014-10-02,1020,121920,30.016,FALSE,TRUE
15,Singapore,2014-10-02,1020,121478,46.1912,FALSE,TRUE
15,Singapore,2014-10-02,13,122034,26.7195,FALSE,TRUE
15,Singapore,2014-10-02,13,122001,101.508,FALSE,TRUE
15,Singapore,2014-10-02,13,121474,53.262,FALSE,TRUE
15,Singapore,2014-10-02,13,121259,85.312,FALSE,TRUE
15,Singapore,2014-10-02,13,111395,68.54,FALSE,TRUE
15,Singapore,2014-10-02,13,121584,123.0048,FALSE,TRUE
15,Singapore,2014-10-02,13,121313,76.368,FALSE,TRUE
15,Singapore,2014-10-02,13,119019,6.699,FALSE,FALSE
15,Singapore,2014-10-02,13,121656,26.207,FALSE,TRUE
15,Singapore,2014-10-02,13,121511,76.505,FALSE,TRUE
15,Singapore,2014-10-02,13,121984,94.188,FALSE,TRUE
15,Singapore,2014-10-02,13,121419,13.871,FALSE,TRUE
15,Singapore,2014-10-02,13,114831,31.54,FALSE,TRUE
15,Singapore,2014-10-02,13,121705,101.736,FALSE,TRUE
15,Singapore,2014-10-02,13,121722,33.7,FALSE,TRUE
15,Singapore,2014-10-02,13,121898,14.309,FALSE,TRUE
15,Singapore,2014-10-02,941,54385,12.6,FALSE,TRUE
15,Singapore,2014-10-02,941,9416,35.1728,FALSE,TRUE
15,Singapore,2014-10-02,941,14533,2.9616,FALSE,TRUE
15,Singapore,2014-10-02,941,72765,59.25,FALSE,TRUE
15,Singapore,2014-10-02,941,121708,49.973,FALSE,TRUE
15,Singapore,2014-10-02,941,122097,25.956,FALSE,TRUE
15,Singapore,2014-10-02,941,70030,76.384,FALSE,TRUE
15,Singapore,2014-10-02,941,26685,46.62,FALSE,TRUE
15,Singapore,2014-10-02,13,193203,4.34,FALSE,TRUE
15,Singapore,2014-10-02,13,51836,123.772,FALSE,TRUE
15,Singapore,2014-10-02,13,45862,57.104,FALSE,TRUE
15,Singapore,2014-10-02,13,122053,5.005,FALSE,TRUE
15,Singapore,2014-10-02,13,121247,1.134,FALSE,TRUE
15,Singapore,2014-10-02,13,121672,59.29,FALSE,TRUE
15,Singapore,2014-10-02,941,77235,49.08,FALSE,TRUE
15,Singapore,2014-10-02,941,115251,27.027,FALSE,TRUE
15,Singapore,2014-10-02,941,1257029,60.123,FALSE,TRUE
